cat,treeID,Z,HTLC_x,vol1,vol2,vol3,vol4,vol5,sfa1,sfa2,sfa3,sfa4,sfa5,UndHt,XTOP,YTOP,ZTOP,Carea,mCDst,plotID,uni,NNhere,CI_Carea,CI_Z,CI_mCDst,CI_HTLC,CI_vol1,CI_vol2,CI_vol3,CI_vol4,CI_vol5,CI_sfa1,CI_sfa2,CI_sfa3,CI_sfa4,CI_sfa5,SILVA1,SILVA2,X1,Y1,Id,Area,NL,pStV_LMR,pStV_RF,pDBH_LMR,pDBH_RF,geom_type,geom_x,geom_y,Z_ft,status,tree_idx_in_row,thin_decision
243,369,21.964,16.4,7.172,25.846,45.149,61.201,75.832,20.918,47.187,70.183,90.276,108.665,0.0,725436.35375,4162720.38225,21.9635,9.91231749989674,4.145,1,368,6,1.855,1.859,1.737,2.063,3.246,2.342,2.339,2.514,2.447,2.628,2.122,2.106,2.246,2.155,1.0,28.0,725436.246,4162720.115,0,26844.5658775,1,16.856333218866,18.6842838333333,10.3760119315566,10.2029000004061,Point,725436.246,4162720.115,72.06036976,Alive,1,Keep
231,355,20.632,13.4,5.115,17.755,30.102,37.958,47.249,16.514,36.663,55.099,67.705,82.083,0.0,725438.8025,4162721.624,20.632,7.78403137481655,4.125,1,354,7,2.104,2.266,2.303,2.357,3.158,2.395,2.244,2.251,2.269,2.675,2.281,2.246,2.265,2.219,7.0,173.0,725438.351,4162721.562,0,26844.5658775,1,12.4128182545765,13.9425529,9.04129563036326,9.079240011921,Point,725438.351,4162721.562,67.69029088,Alive,2,Keep
223,344,20.741,13.4,3.482,13.689,25.86,32.932,36.699,12.936,31.768,51.222,64.309,73.515,8.2,725439.5615,4162723.17675,20.741,7.1096295620664,4.212,1,343,6,2.364,2.294,2.54,2.466,2.576,2.136,2.284,2.2,2.037,2.394,2.15,2.296,2.248,2.155,8.0,206.0,725439.348,4162723.134,0,26844.5658775,1,11.2117683170251,12.5226541666667,8.43127552371087,8.35564000674657,Point,725439.348,4162723.134,68.04790244,Alive,3,Keep
219,339,20.788,14.2,3.442,13.67,20.724,26.478,30.622,12.421,31.943,44.057,56.44,65.216,13.8,725441.31925,4162723.6765,20.78825,4.92381134384777,3.025,1,338,7,2.009,2.643,2.194,2.524,2.601,2.457,2.166,2.14,2.152,2.477,2.523,2.324,2.355,2.353,8.0,245.0,725441.368,4162723.367,0,26844.5658775,1,10.4596272879145,12.4414199333333,8.27824124290989,8.74665334242447,Point,725441.368,4162723.367,68.20210192,Alive,4,Keep
216,335,22.069,15.0,3.799,15.682,27.767,35.934,42.71,13.479,34.643,53.611,67.081,80.188,0.0,725443.04525,4162723.93225,22.069,5.97341331254575,3.303,1,334,7,2.496,2.702,2.456,2.941,3.277,2.789,2.941,2.997,3.189,2.895,2.656,2.81,2.823,2.997,4.0,85.0,725443.221,4162724.177,0,26844.5658775,1,13.0493878256981,13.2090699333333,8.74830492549546,8.668816706059,Point,725443.221,4162724.177,72.40485796,Alive,5,Keep
204,322,21.876,13.2,2.874,15.339,29.308,37.961,42.947,11.337,34.644,54.391,68.929,79.56,0.0,725444.9435,4162725.578,21.8765,7.32180196925765,3.895,1,321,5,1.558,1.78,1.667,1.837,1.131,1.539,1.59,1.533,1.5,1.246,1.582,1.597,1.587,1.569,7.0,142.0,725444.608,4162725.918,0,26844.5658775,1,12.8086221979672,13.6969323666667,9.01733608626542,9.08799334755881,Point,725444.608,4162725.918,71.77165584000001,Alive,6,Keep
198,315,21.869,13.6,3.944,19.968,37.459,50.08,58.725,14.735,40.752,62.605,79.881,93.454,0.0,725446.517,4162726.702,21.869,10.6583528124029,4.715,1,314,8,3.078,2.405,2.669,2.33,2.244,2.749,3.04,3.125,3.16,2.292,2.543,2.669,2.691,2.675,4.0,58.0,725446.519,4162727.003,0,26844.5658775,1,14.79239896404,13.7430543,9.250544128912,9.01002662012898,Point,725446.519,4162727.003,71.74868996,Alive,7,Keep
187,302,21.245,19.0,5.463,21.688,34.907,52.633,62.696,16.863,41.835,58.196,80.46,95.487,0.0,725449.00025,4162728.85425,21.24525,9.55047546868445,4.346,1,301,6,2.099,1.869,1.872,2.429,2.94,2.465,2.172,2.523,2.62,2.384,2.143,1.941,2.126,2.211,0.0,0.0,725449.026,4162728.421,0,26844.5658775,1,14.9825561179466,16.4451869333334,9.56934258074418,9.53799336252437,Point,725449.026,4162728.421,69.7014458,Alive,8,Keep
179,293,21.423,15.2,3.102,14.452,25.321,32.947,41.362,11.349,33.163,51.28,64.013,78.437,0.0,725451.076,4162729.7485,21.4235,7.00411796901608,4.154,1,292,7,2.14,2.424,2.302,2.908,1.911,2.178,2.276,2.162,2.39,1.882,2.203,2.34,2.206,2.374,2.0,48.0,725450.837,4162729.709,0,26844.5658775,1,12.5734127536738,14.6963379333333,9.02712835603399,9.16767668240294,Point,725450.837,4162729.709,70.28543531999999,Alive,9,Keep
172,285,20.452,10.2,3.459,14.592,26.03,38.257,42.656,13.098,33.986,52.658,74.636,84.13,0.0,725451.269,4162730.2655,20.45225,8.04591928096488,5.035,1,284,6,1.989,2.037,2.354,1.517,2.374,2.1,2.091,2.274,2.111,2.249,2.105,2.122,2.32,2.214,15.0,370.0,725451.818,4162731.098,0,26844.5658775,1,11.285219436062,13.1498698,9.10766712332592,8.76251336654387,Point,725451.818,4162731.098,67.09973968,Alive,10,Keep
168,278,21.21,13.6,3.275,15.802,34.403,48.564,68.793,12.181,35.348,61.076,81.144,106.827,13.0,725453.4825,4162731.7965,21.21,11.8185736244777,5.4,1,277,6,2.41,1.966,2.068,2.065,2.213,2.069,2.341,2.382,2.89,1.99,1.962,2.121,2.138,2.422,4.0,53.0,725453.193,4162732.422,0,26844.5658775,1,15.5140127824954,14.1108795666667,10.0900960859546,9.60305997899983,Point,725453.193,4162732.422,69.5866164,Alive,11,Keep
166,276,20.431,14.6,2.667,13.454,27.359,35.993,50.464,10.067,32.019,53.256,66.927,91.179,11.6,725455.4415,4162732.38175,20.43125,8.45176665578038,5.071,1,275,6,2.24,2.119,2.635,2.208,1.69,1.907,2.133,2.224,2.495,1.695,2.005,2.159,2.211,2.47,4.0,87.0,725455.114,4162732.887,0,26844.5658775,1,12.8609739414089,13.4567528666667,9.30867572848445,9.11692002482594,Point,725455.114,4162732.887,67.03084204,Alive,12,Keep
159,269,20.174,13.0,3.221,12.571,23.711,32.103,44.374,12.503,30.653,48.642,62.641,82.89,9.4,725456.53925,4162734.0105,20.17425,6.72631146834465,4.056,1,268,7,1.934,2.314,2.177,2.336,2.855,2.011,2.005,2.082,2.27,2.661,2.089,2.102,2.162,2.325,7.0,249.0,725456.492,4162734.014,0,26844.5658775,1,11.6027815667185,13.8637293,9.00497882882508,8.78532001215833,Point,725456.492,4162734.014,66.18766615999999,Alive,13,Keep
5,10,19.644,15.4,1.955,12.404,21.391,26.432,32.104,8.728,31.042,46.601,57.716,67.689,0.0,725457.8135,4162734.51825,19.64425,5.59932550066151,3.919,1,10,6,1.5,2.146,2.126,2.84,1.171,1.659,1.584,1.484,1.481,1.411,1.889,1.862,1.836,1.805,3.0,92.0,725458.01,4162734.694,0,26844.5658775,1,10.2719947036605,11.4662239666667,8.56641307778035,8.33927002332423,Point,725458.01,4162734.694,64.44882095999999,Alive,14,Keep
155,262,20.121,13.6,4.199,17.674,26.917,35.796,41.825,14.405,37.74,50.95,66.677,77.453,0.0,725459.386,4162735.5285,20.12125,7.34357728133909,4.024,1,261,6,1.959,2.066,2.111,2.382,3.11,2.339,1.9,2.015,2.026,2.619,2.221,1.907,2.063,2.094,5.0,109.0,725459.484,4162735.528,0,26844.5658775,1,11.632426870403,12.1592796,8.63675178642927,8.65008332694963,Point,725459.484,4162735.528,66.01378163999999,Alive,15,Keep
151,257,21.537,13.4,2.95,15.579,31.297,38.962,44.0,11.823,34.749,56.961,67.96,77.338,2.2,725461.296,4162736.5025,21.537,7.90423493686831,3.876,1,256,6,2.033,2.258,2.042,2.517,2.17,1.872,2.131,2.06,2.062,1.939,1.938,2.138,2.067,2.095,5.0,107.0,725461.391,4162736.441,0,26844.5658775,1,12.7962590589755,14.1372014666667,8.99269072098943,9.0020367154876,Point,725461.391,4162736.441,70.65945108,Alive,16,Keep
3,8,19.616,12.4,5.7,17.042,29.861,37.374,40.937,17.939,37.017,56.423,68.666,74.063,3.0,725463.70075,4162738.119,19.6165,7.15934859411209,3.983,1,8,6,1.918,2.113,2.188,2.364,4.837,2.276,2.128,2.103,2.095,3.321,2.238,2.204,2.22,2.165,8.0,207.0,725462.931,4162737.642,0,26844.5658775,1,10.9607682623582,11.8154739333333,8.57679860179547,8.54279664234083,Point,725462.931,4162737.642,64.35695744,Alive,17,Keep
145,248,20.498,12.8,3.75,15.478,28.54,34.716,34.716,13.75,35.086,56.011,65.221,65.221,0.0,725464.15875,4162738.54725,20.498,6.89032700023381,4.1,1,247,6,1.747,2.224,2.078,2.22,2.263,1.84,1.894,1.838,1.61,2.13,1.956,2.065,1.985,1.742,6.0,132.0,725464.363,4162738.69,0,26844.5658775,1,11.0170849574755,12.1716176333333,8.74255059473129,8.76108332469729,Point,725464.363,4162738.69,67.25065832,Alive,18,Keep
142,242,20.224,12.8,5.061,18.214,30.212,36.296,42.028,16.21,37.852,56.222,66.256,77.872,0.0,725465.89775,4162739.0785,20.2235,7.43303171847947,4.062,1,241,7,2.577,2.468,2.583,2.339,3.435,2.833,2.819,2.751,2.836,2.901,2.632,2.688,2.624,2.746,7.0,145.0,725466.022,4162739.347,0,26844.5658775,1,11.6314991238438,11.9639437666667,8.47833253600211,8.05504338561857,Point,725466.022,4162739.347,66.35170816,Alive,19,Thin
140,239,20.398,14.8,3.957,15.185,25.432,35.857,43.502,14.109,34.648,50.797,68.86,82.112,0.0,725467.50675,4162740.74725,20.39775,6.52225778094726,3.772,1,238,7,2.015,2.402,2.225,2.995,4.016,2.432,2.253,2.436,2.409,2.872,2.406,2.294,2.489,2.451,2.0,46.0,725467.479,4162740.836,0,26844.5658775,1,12.1580894132767,15.5133343,8.88497194658905,8.97326000201716,Point,725467.479,4162740.836,66.92257432,Alive,20,Keep
138,237,20.898,18.2,2.149,11.648,25.781,37.454,48.688,9.439,28.409,49.534,68.013,85.642,0.0,725469.34475,4162741.61375,20.898,7.56346996853245,3.714,1,236,7,2.69,2.676,2.406,4.429,2.328,2.03,2.619,2.89,3.173,1.931,2.096,2.467,2.69,2.881,0.0,0.0,725469.367,4162741.779,0,26844.5658775,1,13.1803822423022,13.4006967666667,8.80517185905106,8.19378339508536,Point,725469.367,4162741.779,68.56299432,Alive,21,Keep
1,4,18.556,10.2,2.767,15.363,28.921,40.601,42.643,12.633,36.599,54.579,71.717,74.883,4.2,725471.61825,4162744.894,18.55625,8.00143709382974,3.994,1,4,7,2.117,2.118,2.118,2.313,2.944,2.408,2.276,2.29,1.973,2.588,2.423,2.22,2.25,1.965,10.0,247.0,725471.506,4162743.671,0,26844.5658775,1,10.3686500039173,10.075390947619,8.3160255467457,8.19706998221947,Point,725471.506,4162743.671,60.87926704,Alive,22,Keep
136,232,20.647,10.8,2.941,14.562,34.038,50.825,59.203,11.999,33.692,59.553,79.989,90.674,3.4,725473.13775,4162745.2265,20.647,9.56137274972571,4.543,1,231,7,2.138,2.288,2.14,2.201,2.709,1.955,2.349,2.501,2.528,2.165,1.946,2.205,2.278,2.285,6.0,135.0,725473.385,4162744.975,0,26844.5658775,1,13.8646097192505,15.0198949666667,9.7322423550603,9.83007665415343,Point,725473.385,4162744.975,67.73950348,Alive,23,Keep
264,392,22.857,14.8,7.997,27.789,51.247,62.868,80.476,22.897,48.808,76.243,89.556,112.747,4.4,725437.94125,4162717.7025,22.85725,10.6409360626712,4.266,1,391,7,2.268,2.148,2.097,2.023,3.64,2.665,2.807,2.892,2.95,2.975,2.362,2.488,2.5,2.535,6.0,153.0,725437.705,4162717.337,0,26844.5658775,2,17.6424019561539,16.3202476666667,10.6558860112752,9.9333299900585,Point,725437.705,4162717.337,74.99015988,Alive,1,Thin
15,23,19.858,15.6,6.62,18.152,24.168,24.673,34.807,20.495,36.95,46.782,47.424,67.828,10.6,725438.80225,4162718.50675,21.0955,6.87693074988783,3.413,1,23,7,2.044,2.165,2.026,2.458,3.029,2.321,1.791,1.446,1.753,2.834,2.264,1.914,1.558,1.911,5.0,154.0,725439.777,4162719.139,0,26844.5658775,2,10.5591736180951,12.0334855666667,8.03747576992633,8.70319999182797,Point,725439.777,4162719.139,65.15092072,Alive,2,Thin
244,370,20.252,16.4,4.883,14.696,21.787,28.702,31.061,15.919,32.668,44.192,58.87,63.824,12.8,725441.46275,4162720.168,20.25175,5.97315590590006,3.48,1,369,8,2.523,2.638,2.694,3.085,3.723,2.681,2.435,2.616,2.344,3.235,2.646,2.49,2.749,2.455,3.0,93.0,725441.468,4162720.103,0,26844.5658775,2,10.544325916819,13.6941367,7.94945707973313,8.3498800302691,Point,725441.468,4162720.103,66.44357167999999,Alive,3,Thin
233,357,21.728,14.4,1.953,12.038,21.621,27.056,30.588,8.903,30.065,45.067,55.111,63.055,0.0,725443.23725,4162721.0645,21.72775,6.09738259331789,3.34,1,356,6,2.351,2.326,2.272,2.169,1.337,1.848,2.095,2.052,2.092,1.598,2.04,2.167,2.09,2.155,6.0,128.0,725443.226,4162721.201,0,26844.5658775,2,11.3557586864148,13.0661284666667,7.98715455321411,8.42441999585313,Point,725443.226,4162721.201,71.28609152,Alive,4,Thin
227,349,21.726,14.4,1.975,14.024,24.272,26.904,27.093,9.169,33.211,48.458,54.141,54.371,0.0,725444.88225,4162722.1045,21.7255,6.08349412505049,3.256,1,348,6,2.334,2.392,2.206,2.762,1.406,2.277,2.476,2.055,1.796,1.715,2.341,2.408,2.079,1.787,7.0,166.0,725445.064,4162722.048,0,26844.5658775,2,10.8654127916145,12.9329737,7.87035925588677,8.2972166886696,Point,725445.064,4162722.048,71.27952984,Alive,5,Thin
220,340,19.406,7.4,4.932,13.986,21.57,28.984,31.742,15.93,31.781,45.925,58.953,66.739,0.0,725445.62,4162724.57425,19.4065,5.53791509394068,3.271,1,339,6,2.041,2.167,2.199,1.216,3.67,2.183,2.159,2.437,2.335,3.039,2.192,2.278,2.469,2.422,28.0,717.0,725446.298,4162723.524,0,26844.5658775,2,8.51049448648595,8.8976831,7.77567443069253,8.46864666292934,Point,725446.298,4162723.524,63.667981039999994,Alive,6,Thin
218,338,19.63,15.0,5.363,13.98,17.579,18.688,22.913,16.811,32.119,39.344,41.997,52.991,0.0,725448.52725,4162724.323,19.6295,5.39841871900717,3.244,1,337,6,2.065,2.298,2.203,3.056,3.527,2.309,1.941,1.549,1.743,3.01,2.351,2.119,1.73,1.971,7.0,226.0,725447.93,4162723.772,0,26844.5658775,2,8.89143842133323,10.0761747333333,7.5066865066636,7.96280669263831,Point,725447.93,4162723.772,64.40288919999999,Alive,7,Thin
210,328,21.408,15.0,3.178,14.803,21.497,28.9,32.286,12.507,33.053,43.072,58.509,66.925,3.8,725449.476,4162724.96875,21.40775,6.40075381286442,3.46,1,327,5,1.865,2.033,1.819,1.905,1.465,1.86,1.807,2.066,2.038,1.654,1.873,1.783,2.067,2.077,5.0,147.0,725449.273,4162725.159,0,26844.5658775,2,11.292927210979,12.4804431,8.2387684985989,8.87097666207019,Point,725449.273,4162725.159,70.23622272,Alive,8,Thin
202,320,21.07,15.8,3.66,15.216,25.024,27.954,28.555,13.094,33.909,49.084,55.562,56.142,3.6,725451.27125,4162726.027,21.07025,6.3344099058304,3.521,1,319,7,2.486,2.584,2.449,2.562,2.602,2.635,2.862,2.476,2.269,2.538,2.602,2.758,2.444,2.2,3.0,64.0,725451.097,4162725.992,0,26844.5658775,2,10.8625624380953,13.4730416333334,7.97420537722681,8.16129334280229,Point,725451.097,4162725.992,69.1272988,Alive,9,Thin
193,310,20.37,15.6,5.203,15.956,22.508,28.724,33.385,16.433,34.728,45.932,58.353,68.754,0.0,725452.8015,4162726.91825,20.3705,6.06757990620099,3.55,1,309,7,2.486,2.556,2.561,2.526,3.947,2.877,2.74,2.855,3.043,3.368,2.754,2.709,2.84,3.084,4.0,101.0,725452.596,4162726.971,0,26844.5658775,2,10.8622535892191,13.8118625333333,8.0616057964575,8.36423000932903,Point,725452.596,4162726.971,66.8307108,Alive,10,Thin
189,304,20.013,15.8,4.19,13.144,17.013,23.286,27.938,15.087,30.708,37.875,51.522,61.881,0.0,725454.03175,4162728.069,20.01275,5.64370624959702,3.382,1,303,6,2.03,2.254,2.149,2.536,2.863,2.062,1.787,2.083,2.306,2.797,2.141,1.948,2.262,2.487,2.0,45.0,725453.936,4162728.082,0,26844.5658775,2,10.158589985892,12.3952561666667,7.83858251858004,8.10179003828217,Point,725453.936,4162728.082,65.65945092000001,Alive,11,Thin
182,296,19.998,15.2,2.957,12.689,18.366,20.326,20.326,11.295,29.647,39.31,44.402,44.402,2.2,725455.513,4162729.218,19.998,5.63205756261596,3.238,1,295,7,1.992,2.399,2.08,2.609,2.194,2.147,1.996,1.78,1.454,2.251,2.207,2.105,1.952,1.607,3.0,82.0,725455.207,4162729.299,0,26844.5658775,2,9.19850929254562,11.1880015666667,7.60115272662413,7.7886000122568,Point,725455.207,4162729.299,65.61023832000001,Alive,12,Thin
177,291,20.863,16.0,3.384,14.593,22.624,25.985,35.894,12.397,32.903,45.708,51.937,69.228,13.0,725456.75875,4162730.2615,20.86325,6.2727499998291,3.384,1,290,6,1.833,2.148,1.954,2.372,2.008,2.024,1.858,1.818,2.205,2.035,2.056,1.953,1.903,2.216,2.0,51.0,725456.869,4162730.172,0,26844.5658775,2,11.5884472856923,13.2498258666667,8.40366289776713,8.69591000465927,Point,725456.869,4162730.172,68.44816492,Alive,13,Thin
171,283,21.686,14.0,5.746,19.894,36.345,42.644,48.041,17.958,39.168,60.731,70.025,79.95,0.0,725458.7495,4162731.0545,21.686,8.33989381218271,3.523,1,282,6,2.444,2.055,1.897,1.858,3.624,2.592,2.767,2.732,2.488,2.96,2.252,2.356,2.325,2.184,5.0,100.0,725458.792,4162731.292,0,26844.5658775,2,13.3652531108125,12.9691288,8.50391126785435,8.40617334707637,Point,725458.792,4162731.292,71.14829624,Alive,14,Thin
163,273,21.634,14.0,3.889,19.366,36.213,40.249,43.724,13.474,39.058,61.827,66.515,72.718,0.0,725461.746,4162733.28775,21.634,8.10436981229577,3.636,1,272,7,2.438,2.264,2.129,2.15,3.5,2.557,2.737,2.464,2.295,2.574,2.349,2.51,2.226,2.09,6.0,131.0,725461.585,4162732.993,0,26844.5658775,2,12.7675804653391,12.8763623333333,8.54099780920454,8.1817866999393,Point,725461.585,4162732.993,70.97769256,Alive,15,Thin
160,270,20.692,14.6,1.274,19.498,34.714,44.765,50.718,9.536,40.618,59.38,73.605,84.08,0.0,725462.514,4162733.84075,20.69225,8.58182565651077,3.885,1,269,6,2.201,1.982,2.098,2.158,0.702,2.234,2.212,2.358,2.33,1.422,2.191,2.12,2.231,2.219,4.0,83.0,725463.773,4162733.969,0,26844.5658775,2,13.0680482066682,14.3409007,8.76938382481127,8.99239003568517,Point,725463.773,4162733.969,67.88714128,Alive,16,Thin
153,259,19.385,13.6,4.316,17.678,28.621,34.832,41.048,15.416,36.768,51.245,61.593,73.097,0.0,725465.96875,4162736.12925,19.3845,7.89005421905313,3.606,1,258,8,3.121,2.484,2.547,2.629,3.512,2.916,2.912,2.942,3.162,2.918,2.721,2.647,2.663,2.86,9.0,201.0,725465.829,4162735.866,0,26844.5658775,2,10.8392512287878,8.62775656666666,7.64055217048249,6.84524666048074,Point,725465.829,4162735.866,63.599083400000005,Alive,17,Thin
149,254,19.823,14.0,4.008,12.872,19.0,21.772,21.881,15.259,30.972,41.497,48.278,48.592,0.0,725467.58775,4162736.977,19.823,5.38913962431252,3.233,1,253,8,2.376,2.768,2.536,2.795,2.626,2.331,2.201,2.089,1.757,2.907,2.541,2.433,2.364,1.98,6.0,168.0,725467.509,4162737.032,0,26844.5658775,2,9.04514059654726,11.2437672333333,7.61708276108926,7.86789001600827,Point,725467.509,4162737.032,65.03609132,Alive,18,Thin
146,250,19.865,15.0,3.964,14.4,20.906,23.012,31.304,14.004,31.973,42.638,47.204,64.188,0.0,725469.047,4162738.01375,19.865,6.01106665580301,3.343,1,249,8,2.909,2.789,2.81,2.909,3.083,2.991,2.703,2.382,2.893,2.962,2.861,2.673,2.378,2.858,4.0,85.0,725469.082,4162738.083,0,26844.5658775,2,10.3420268133662,12.5607575666667,7.6289285170826,8.2965599938172,Point,725469.082,4162738.083,65.17388659999999,Alive,19,Thin
143,243,20.623,14.4,3.134,12.802,20.116,25.613,28.661,12.0,30.509,42.361,53.693,61.098,0.0,725470.996,4162739.01975,20.62325,5.52043871843489,3.121,1,242,7,2.29,2.693,2.317,2.577,2.254,2.387,2.28,2.371,2.207,2.375,2.474,2.369,2.479,2.321,7.0,207.0,725470.708,4162739.164,0,26844.5658775,2,10.2274904623312,13.2974403666667,8.00282996390124,8.60446668106653,Point,725470.708,4162739.164,67.66076332,Alive,20,Thin
2,7,18.235,10.6,4.417,13.187,23.436,26.989,30.046,14.489,31.285,48.526,54.825,63.16,0.0,725473.24,4162739.758,18.23525,6.45848949975334,3.751,1,7,5,2.011,1.818,2.171,1.478,3.303,1.988,2.009,1.758,1.685,2.645,1.993,2.072,1.833,1.813,12.0,268.0,725471.957,4162740.423,0,26844.5658775,2,8.68957293493091,8.1173035,7.44819177369733,8.00985663519071,Point,725471.957,4162740.423,59.8261174,Alive,21,Thin
139,238,20.558,15.2,2.527,13.732,24.373,31.407,38.604,10.395,32.264,49.096,60.681,73.938,0.0,725473.74175,4162741.149,20.5585,6.73816906235879,3.721,1,237,7,2.149,2.488,2.295,2.819,1.511,2.068,2.111,2.166,2.375,1.722,2.187,2.232,2.256,2.42,0.0,0.0,725473.731,4162741.012,0,26844.5658775,2,11.8248338115799,13.8317900333333,8.63094632362482,8.72343334308009,Point,725473.731,4162741.012,67.44750872,Alive,22,Thin
137,236,19.68,16.4,5.491,20.821,36.576,51.757,60.003,17.404,40.597,59.971,79.06,92.211,0.0,725475.62875,4162742.47625,19.68025,9.4575786559144,4.101,1,235,6,1.849,1.864,1.68,2.686,2.927,2.2,2.025,2.191,2.231,2.338,1.961,1.86,1.975,2.052,0.0,0.0,725475.703,4162742.737,0,26844.5658775,2,13.6692250229528,12.9165962,9.31458934918749,9.49885334725409,Point,725475.703,4162742.737,64.5669312,Alive,23,Thin
309,443,21.53,14.0,7.39,25.973,45.701,65.024,75.488,22.111,46.321,69.761,93.718,109.679,0.0,725441.0375,4162712.756,21.53,10.2668299056822,4.371,1,442,7,2.186,1.952,2.103,1.941,3.391,2.839,2.42,2.863,2.875,2.864,2.36,2.157,2.463,2.494,7.0,177.0,725441.184,4162712.637,0,26844.5658775,4,16.1639053968778,16.4937829333333,10.176810871355,9.6358833255465,Point,725441.184,4162712.637,70.63648520000001,Alive,1,Keep
297,430,21.137,17.2,2.957,11.193,23.921,26.325,30.283,11.665,29.013,48.717,52.459,61.147,0.0,725443.7975,4162713.70925,21.1365,6.54355303122429,3.448,1,429,7,1.912,2.362,2.148,2.847,1.763,1.446,1.712,1.475,1.423,1.823,1.782,1.978,1.718,1.69,2.0,70.0,725443.338,4162713.805,0,26844.5658775,4,11.0854439191458,14.9325156333333,8.34451620399023,8.75381333162413,Point,725443.338,4162713.805,69.34711508,Alive,2,Keep
288,421,20.943,16.2,2.435,14.246,25.166,32.555,41.695,11.552,33.769,50.327,62.647,79.208,12.4,725444.0005,4162714.03425,20.94325,6.38806440599728,3.5,1,420,6,2.091,2.278,2.243,2.415,1.423,2.156,2.135,2.314,2.548,1.882,2.237,2.231,2.351,2.546,3.0,78.0,725444.637,4162714.873,0,26844.5658775,4,12.2259580341626,14.2530583333333,8.60271135390896,8.9635466846718,Point,725444.637,4162714.873,68.71063212,Alive,3,Keep
279,410,21.075,16.2,3.841,15.761,25.351,29.899,37.639,13.488,35.178,49.829,59.144,73.682,0.0,725446.4845,4162715.83625,21.07525,6.84889703127556,3.707,1,409,7,2.647,2.487,2.623,2.712,2.725,2.549,2.578,2.38,2.483,2.52,2.524,2.555,2.414,2.479,3.0,65.0,725446.384,4162716.006,0,26844.5658775,4,11.8867554290065,14.1911034333333,8.22485052772159,8.09311334282003,Point,725446.384,4162716.006,69.143703,Alive,4,Thin
272,402,21.56,14.8,3.527,13.897,21.599,25.769,31.405,12.971,32.302,44.859,54.225,67.656,12.6,725448.30825,4162716.754,21.5605,5.57511815638281,3.304,1,401,8,2.496,2.963,2.695,2.879,2.73,2.61,2.693,2.519,2.533,2.84,2.703,2.782,2.663,2.741,6.0,157.0,725448.108,4162716.869,0,26844.5658775,4,11.266680620066,14.0459347,8.39988178848613,8.3039200157515,Point,725448.108,4162716.869,70.73491039999999,Alive,5,Keep
261,389,20.638,15.0,3.941,14.302,19.403,23.72,29.873,13.433,32.877,41.628,51.679,64.946,0.0,725449.711,4162717.638,20.63775,5.42025521867618,3.241,1,388,7,2.235,2.554,2.435,2.636,3.608,2.567,2.193,2.13,2.277,3.113,2.582,2.346,2.344,2.473,6.0,165.0,725449.57,4162717.809,0,26844.5658775,4,10.4790346030752,13.2273165333333,8.03855012692599,8.5292100061616,Point,725449.57,4162717.809,67.70997592,Alive,6,Keep
252,379,21.464,15.6,2.025,17.71,29.571,35.676,41.956,8.978,37.379,52.954,62.333,73.085,0.0,725451.19775,4162718.92025,21.4645,8.14554259370198,3.561,1,378,8,3.298,2.641,2.576,2.672,1.506,3.058,3.389,3.225,3.327,1.781,2.837,2.974,2.791,2.851,3.0,55.0,725451.142,4162719.25,0,26844.5658775,4,12.6492434291767,13.5547333,7.96992791382255,7.81775999322096,Point,725451.142,4162719.25,70.41994976,Alive,7,Thin
238,362,21.041,14.2,9.952,31.078,48.855,59.058,69.738,27.138,53.887,73.26,86.788,103.251,2.2,725454.34275,4162720.76775,21.0415,10.7860333119752,4.174,1,361,7,3.143,2.089,2.375,1.99,6.302,4.113,4.001,3.989,4.207,4.487,3.196,3.071,3.065,3.234,7.0,120.0,725454.136,4162720.827,0,26844.5658775,4,15.3434293883008,12.1744166666667,9.03760368878776,8.49734998561173,Point,725454.136,4162720.827,69.03215444,Alive,8,Keep
222,343,22.236,14.4,4.119,17.652,32.594,37.901,48.29,15.117,39.232,60.22,67.516,86.122,0.0,725457.7315,4162723.0005,22.2355,7.53934259305242,3.581,1,342,7,2.359,2.443,2.203,2.242,2.102,2.191,2.683,2.691,3.133,2.271,2.327,2.645,2.58,2.973,8.0,214.0,725457.124,4162722.944,0,26844.5658775,4,13.4623857781395,14.8990980666667,9.03535785923096,8.49379002616477,Point,725457.124,4162722.944,72.95275824000001,Alive,9,Keep
217,336,22.216,14.2,4.28,17.25,28.369,35.859,40.344,14.229,37.526,55.362,69.667,79.253,0.0,725459.1425,4162724.169,22.2165,6.30731287453091,3.699,1,335,5,1.655,2.131,2.048,1.984,1.695,1.822,1.822,1.945,1.949,1.669,1.882,1.953,2.119,2.127,5.0,122.0,725459.067,4162723.838,0,26844.5658775,4,12.7849030541579,13.7874365666667,9.08996035218929,8.98610334889393,Point,725459.067,4162723.838,72.88714144000001,Alive,10,Keep
10,18,21.117,13.8,4.381,15.534,25.382,30.631,32.377,15.708,35.783,51.292,60.857,65.402,0.0,725459.26925,4162724.7975,21.117,6.36793165572453,3.429,1,18,6,1.929,2.243,2.069,2.155,2.09,1.878,1.884,1.866,1.77,2.252,2.071,2.071,2.047,1.949,9.0,254.0,725460.314,4162725.033,0,26844.5658775,4,10.8471009170359,12.7342650333333,8.30712436867926,8.58343331316536,Point,725460.314,4162725.033,69.28149828000001,Alive,11,Keep
